Subject,ML Score,MERCI Score,BLAST Score,Hybrid Score,Prediction
Pep_665,0.799,0,0,0.799,Toxin
Pep_666,0.735,0,0,0.735,Toxin
Pep_667,0.802,0,0,0.802,Toxin
Pep_668,0.516,0,0,0.516,Non-Toxin
Pep_669,0.485,0,0,0.485,Non-Toxin
Pep_67,0.688,0,0,0.688,Toxin
Pep_670,0.635,0,0,0.635,Toxin
Pep_671,0.655,0,0,0.655,Toxin
Pep_672,0.794,0,0,0.794,Toxin
Pep_673,0.77,0,0,0.77,Toxin
Pep_674,0.653,0,0,0.653,Toxin
Pep_675,0.894,0,0,0.894,Toxin
Pep_676,0.879,0,0,0.879,Toxin
Pep_677,0.677,0,0,0.677,Toxin
Pep_678,0.879,0,0,0.879,Toxin
Pep_679,0.805,0,0,0.805,Toxin
Pep_68,0.597,0,0,0.597,Non-Toxin
Pep_680,0.771,0,0,0.771,Toxin
Pep_681,0.771,0,0,0.771,Toxin
Pep_682,0.9,0,0,0.9,Toxin
Pep_683,0.737,0,0,0.737,Toxin
Pep_684,0.739,0,0,0.739,Toxin
Pep_685,0.726,0,0,0.726,Toxin
Pep_686,0.708,0,0,0.708,Toxin
Pep_687,0.89,0,0,0.89,Toxin
Pep_688,0.671,0,0,0.671,Toxin
Pep_689,0.646,0,0,0.646,Toxin
Pep_69,0.649,0,0,0.649,Toxin
Pep_690,0.635,0,0,0.635,Toxin
Pep_691,0.871,0,0,0.871,Toxin
Pep_692,0.871,0,0,0.871,Toxin
Pep_693,0.78,0,0,0.78,Toxin
Pep_694,0.755,0,0,0.755,Toxin
Pep_695,0.789,0,0,0.789,Toxin
Pep_696,0.626,0,0,0.626,Toxin
Pep_697,0.612,0,0,0.612,Toxin
Pep_698,0.655,0,0,0.655,Toxin
Pep_699,0.892,0,0,0.892,Toxin
Pep_7,0.556,0,0,0.556,Non-Toxin
Pep_70,0.66,0,0,0.66,Toxin
Pep_700,0.54,0,0,0.54,Non-Toxin
Pep_701,0.545,0,0,0.545,Non-Toxin
Pep_702,0.54,0,0,0.54,Non-Toxin
Pep_703,0.804,0,0,0.804,Toxin
Pep_704,0.702,0,0,0.702,Toxin
Pep_705,0.862,0,0,0.862,Toxin
Pep_706,0.72,0,0,0.72,Toxin
Pep_707,0.593,0,0,0.593,Non-Toxin
Pep_708,0.542,0,0,0.542,Non-Toxin
Pep_709,0.509,0,0,0.509,Non-Toxin
Pep_71,0.668,0,0,0.668,Toxin
Pep_710,0.608,0,0,0.608,Toxin
Pep_711,0.595,0,0,0.595,Non-Toxin
Pep_712,0.681,0,0,0.681,Toxin
Pep_713,0.703,0,0,0.703,Toxin
Pep_714,0.699,0,0,0.699,Toxin
Pep_715,0.653,0,0,0.653,Toxin
Pep_716,0.629,0,0,0.629,Toxin
Pep_717,0.771,0,0,0.771,Toxin
Pep_718,0.584,0,0,0.584,Non-Toxin
Pep_719,0.583,0,0,0.583,Non-Toxin
Pep_72,0.529,0,0,0.529,Non-Toxin
Pep_720,0.582,0,0,0.582,Non-Toxin
Pep_721,0.53,0,0,0.53,Non-Toxin
Pep_722,0.583,0,0,0.583,Non-Toxin
Pep_723,0.57,0,0,0.57,Non-Toxin
Pep_724,0.583,0,0,0.583,Non-Toxin
Pep_725,0.557,0,0,0.557,Non-Toxin
Pep_726,0.72,0,0,0.72,Toxin
Pep_727,0.651,0,0,0.651,Toxin
Pep_728,0.659,0,0,0.659,Toxin
Pep_729,0.581,0,0,0.581,Non-Toxin
Pep_73,0.561,0,0,0.561,Non-Toxin
Pep_730,0.594,0,0,0.594,Non-Toxin
Pep_731,0.877,0,0,0.877,Toxin
Pep_732,0.664,0,0,0.664,Toxin
Pep_733,0.666,0,0,0.666,Toxin
Pep_734,0.629,0,0,0.629,Toxin
Pep_735,0.639,0,0,0.639,Toxin
Pep_736,0.605,0,0,0.605,Toxin
Pep_737,0.595,0,0,0.595,Non-Toxin
Pep_738,0.61,0,0,0.61,Toxin
Pep_739,0.691,0,0,0.691,Toxin
Pep_74,0.548,0,0,0.548,Non-Toxin
Pep_740,0.628,0,0,0.628,Toxin
Pep_741,0.616,0,0,0.616,Toxin
Pep_742,0.851,0,0,0.851,Toxin
Pep_743,0.771,0,0,0.771,Toxin
Pep_744,0.771,0,0,0.771,Toxin
Pep_745,0.785,0,0,0.785,Toxin
Pep_746,0.63,0,0,0.63,Toxin
Pep_747,0.632,0,0,0.632,Toxin
Pep_748,0.672,0,0,0.672,Toxin
Pep_749,0.672,0,0,0.672,Toxin
Pep_75,0.712,0,0,0.712,Toxin
Pep_750,0.695,0,0,0.695,Toxin
Pep_751,0.655,0,0,0.655,Toxin
Pep_752,0.583,0,0,0.583,Non-Toxin
Pep_753,0.601,0,0,0.601,Toxin
Pep_754,0.617,0,0,0.617,Toxin
Pep_755,0.688,0,0,0.688,Toxin
Pep_756,0.686,0,0,0.686,Toxin
Pep_757,0.636,0,0,0.636,Toxin
Pep_758,0.761,0,0,0.761,Toxin
Pep_759,0.736,0,0,0.736,Toxin
Pep_76,0.704,0,0,0.704,Toxin
Pep_760,0.648,0,0,0.648,Toxin
Pep_761,0.629,0,0,0.629,Toxin
Pep_762,0.557,0,0,0.557,Non-Toxin
Pep_763,0.722,0,0,0.722,Toxin
Pep_764,0.606,0,0,0.606,Toxin
Pep_765,0.728,0,0,0.728,Toxin
Pep_766,0.683,0,0,0.683,Toxin
Pep_767,0.648,0,0,0.648,Toxin
Pep_768,0.668,0,0,0.668,Toxin
Pep_769,0.659,0,0,0.659,Toxin
Pep_77,0.596,0,0,0.596,Non-Toxin
Pep_770,0.662,0,0,0.662,Toxin
Pep_771,0.754,0,0,0.754,Toxin
Pep_772,0.716,0,0,0.716,Toxin
Pep_773,0.647,0,0,0.647,Toxin
Pep_774,0.633,0,0,0.633,Toxin
Pep_775,0.592,0,0,0.592,Non-Toxin
Pep_776,0.52,0,0,0.52,Non-Toxin
Pep_777,0.502,0,0,0.502,Non-Toxin
Pep_778,0.532,0,0,0.532,Non-Toxin
Pep_779,0.557,0,0,0.557,Non-Toxin
Pep_78,0.698,0,0,0.698,Toxin
Pep_780,0.671,0,0,0.671,Toxin
Pep_781,0.425,0,0,0.425,Non-Toxin
Pep_782,0.455,0,0,0.455,Non-Toxin
Pep_783,0.594,0,0,0.594,Non-Toxin
Pep_784,0.431,0,0,0.431,Non-Toxin
Pep_785,0.714,0,0,0.714,Toxin
Pep_786,0.717,0,0,0.717,Toxin
Pep_787,0.69,0,0,0.69,Toxin
Pep_788,0.814,0,0,0.814,Toxin
Pep_789,0.79,0,0,0.79,Toxin
Pep_79,0.693,0,0,0.693,Toxin
Pep_790,0.613,0,0,0.613,Toxin
Pep_791,0.815,0,0,0.815,Toxin
Pep_792,0.575,0,0,0.575,Non-Toxin
Pep_793,0.653,0,0,0.653,Toxin
Pep_794,0.647,0,0,0.647,Toxin
Pep_795,0.699,0,0,0.699,Toxin
Pep_796,0.706,0,0,0.706,Toxin
Pep_797,0.737,0,0,0.737,Toxin
Pep_798,0.657,0,0,0.657,Toxin
Pep_799,0.646,0,0,0.646,Toxin
Pep_8,0.506,0,0,0.506,Non-Toxin
Pep_80,0.622,0,0,0.622,Toxin
Pep_800,0.79,0,0,0.79,Toxin
Pep_801,0.714,0,0,0.714,Toxin
Pep_802,0.663,0,0,0.663,Toxin
Pep_803,0.734,0,0,0.734,Toxin
Pep_804,0.791,0,0,0.791,Toxin
Pep_805,0.51,0,0,0.51,Non-Toxin
Pep_806,0.488,0,0,0.488,Non-Toxin
Pep_807,0.871,0,0,0.871,Toxin
Pep_808,0.798,0,0,0.798,Toxin
Pep_809,0.696,0,0,0.696,Toxin
Pep_81,0.614,0,0,0.614,Toxin
Pep_810,0.7,0,0,0.7,Toxin
Pep_811,0.722,0,0,0.722,Toxin
Pep_812,0.737,0,0,0.737,Toxin
Pep_813,0.882,0,0,0.882,Toxin
Pep_814,0.677,0,0,0.677,Toxin
