Subject,ML Score,MERCI Score,BLAST Score,Hybrid Score,Prediction
pep966,0.636,0,0,0.636,Toxin
pep967,0.618,0,0,0.618,Toxin
pep968,0.952,0,0,0.952,Toxin
pep969,0.955,0,0,0.955,Toxin
pep97,0.689,0,0,0.689,Toxin
pep970,0.941,0,0,0.941,Toxin
pep971,0.937,0,0,0.937,Toxin
pep972,0.659,0,0,0.659,Toxin
pep973,0.617,0,0,0.617,Toxin
pep974,0.604,0,0,0.604,Toxin
pep975,0.582,0,0,0.582,Non-Toxin
pep976,0.572,0,0,0.572,Non-Toxin
pep977,0.521,0,0,0.521,Non-Toxin
pep978,0.545,0,0,0.545,Non-Toxin
pep979,0.547,0,0,0.547,Non-Toxin
pep98,0.687,0,0,0.687,Toxin
pep980,0.546,0,0,0.546,Non-Toxin
pep981,0.549,0,0,0.549,Non-Toxin
pep982,0.581,0,0,0.581,Non-Toxin
pep983,0.588,0,0,0.588,Non-Toxin
pep984,0.554,0,0,0.554,Non-Toxin
pep985,0.679,0,0,0.679,Toxin
pep986,0.625,0,0,0.625,Toxin
pep987,0.681,0,0,0.681,Toxin
pep988,0.645,0,0,0.645,Toxin
pep989,0.658,0,0,0.658,Toxin
pep99,0.687,0,0,0.687,Toxin
pep990,0.667,0,0,0.667,Toxin
pep991,0.653,0,0,0.653,Toxin
pep992,0.649,0,0,0.649,Toxin
pep993,0.622,0,0,0.622,Toxin
pep994,0.569,0,0,0.569,Non-Toxin
pep995,0.572,0,0,0.572,Non-Toxin
pep996,0.595,0,0,0.595,Non-Toxin
pep997,0.552,0,0,0.552,Non-Toxin
pep998,0.693,0,0,0.693,Toxin
pep999,0.693,0,0,0.693,Toxin
